"Name","Total Time","Total Time (CPU)","Hits"
"Monitor Ctrl-Break","32.899 ms (-0 %)","32.899 ms (-0 %)","1"
" com.intellij.rt.execution.application.AppMainV2$1.run ()","32.899 ms (-0 %)","32.899 ms (-0 %)","1"
"Catalina-utility-1","32.899 ms (-0 %)","0,0 ms (0 %)","1"
" org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","32.899 ms (-0 %)","0,0 ms (0 %)","1"
"  java.lang.Thread.run ()","0,0 ms (0 %)","0,0 ms (0 %)","1"
"Catalina-utility-2","32.899 ms (-0 %)","0,0 ms (0 %)","1"
" org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","32.899 ms (-0 %)","0,0 ms (0 %)","1"
"  java.lang.Thread.run ()","0,0 ms (0 %)","0,0 ms (0 %)","1"
"container-0","32.899 ms (-0 %)","0,0 ms (0 %)","2"
" org.springframework.boot.web.embedded.tomcat.TomcatWebServer$1.run ()","32.899 ms (-0 %)","0,0 ms (0 %)","1"
" org.apache.catalina.core.StandardServer.await ()","32.899 ms (-0 %)","0,0 ms (0 %)","1"
"  org.springframework.boot.web.embedded.tomcat.TomcatWebServer$1.run ()","0,0 ms (0 %)","0,0 ms (0 %)","1"
"http-nio-8080-BlockPoller","32.899 ms (-0 %)","0,0 ms (0 %)","1"
" org.apache.tomcat.util.net.NioBlockingSelector$BlockPoller.run ()","32.899 ms (-0 %)","0,0 ms (0 %)","1"
"http-nio-8080-exec-1","32.899 ms (-0 %)","0,0 ms (0 %)","3"
" org.apache.tomcat.util.threads.TaskQueue.take ()","32.899 ms (-0 %)","0,0 ms (0 %)","2"
"  java.util.concurrent.ThreadPoolExecutor.getTask ()","0,0 ms (0 %)","0,0 ms (0 %)","1"
"   java.util.concurrent.ThreadPoolExecutor.getTask ()","0,0 ms (0 %)","0,0 ms (0 %)","1"
"    java.util.concurrent.ThreadPoolExecutor.runWorker ()","0,0 ms (0 %)","0,0 ms (0 %)","1"
"     java.util.concurrent.ThreadPoolExecutor$Worker.run ()","0,0 ms (0 %)","0,0 ms (0 %)","1"
"      org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","0,0 ms (0 %)","0,0 ms (0 %)","1"
"       java.lang.Thread.run ()","0,0 ms (0 %)","0,0 ms (0 %)","1"
"  org.apache.tomcat.util.threads.TaskQueue.take ()","0,0 ms (0 %)","0,0 ms (0 %)","1"
"   org.apache.tomcat.util.threads.TaskQueue.take ()","0,0 ms (0 %)","0,0 ms (0 %)","1"
"    java.util.concurrent.ThreadPoolExecutor.getTask ()","0,0 ms (0 %)","0,0 ms (0 %)","1"
"     java.util.concurrent.ThreadPoolExecutor.runWorker ()","0,0 ms (0 %)","0,0 ms (0 %)","1"
"      java.util.concurrent.ThreadPoolExecutor$Worker.run ()","0,0 ms (0 %)","0,0 ms (0 %)","1"
"       org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","0,0 ms (0 %)","0,0 ms (0 %)","1"
"        java.lang.Thread.run ()","0,0 ms (0 %)","0,0 ms (0 %)","1"
" org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","32.899 ms (-0 %)","0,0 ms (0 %)","1"
"  java.lang.Thread.run ()","0,0 ms (0 %)","0,0 ms (0 %)","1"
"http-nio-8080-exec-2","32.899 ms (-0 %)","100 ms (-0 %)","15"
" org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","32.899 ms (-0 %)","100 ms (-0 %)","1"
"  java.lang.Thread.run ()","0,0 ms (0 %)","0,0 ms (0 %)","1"
" org.apache.tomcat.util.threads.TaskQueue.take ()","32.798 ms (-0 %)","0,0 ms (0 %)","4"
"  java.util.concurrent.ThreadPoolExecutor.getTask ()","0,0 ms (0 %)","0,0 ms (0 %)","2"
"   java.util.concurrent.ThreadPoolExecutor.getTask ()","0,0 ms (0 %)","0,0 ms (0 %)","2"
"    java.util.concurrent.ThreadPoolExecutor.runWorker ()","0,0 ms (0 %)","0,0 ms (0 %)","1"
"     java.util.concurrent.ThreadPoolExecutor$Worker.run ()","0,0 ms (0 %)","0,0 ms (0 %)","1"
"      org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","0,0 ms (0 %)","0,0 ms (0 %)","1"
"       java.lang.Thread.run ()","0,0 ms (0 %)","0,0 ms (0 %)","1"
"  org.apache.tomcat.util.threads.TaskQueue.take ()","0,0 ms (0 %)","0,0 ms (0 %)","2"
"   org.apache.tomcat.util.threads.TaskQueue.take ()","0,0 ms (0 %)","0,0 ms (0 %)","2"
"    java.util.concurrent.ThreadPoolExecutor.getTask ()","0,0 ms (0 %)","0,0 ms (0 %)","2"
"     java.util.concurrent.ThreadPoolExecutor.runWorker ()","0,0 ms (0 %)","0,0 ms (0 %)","1"
"      java.util.concurrent.ThreadPoolExecutor$Worker.run ()","0,0 ms (0 %)","0,0 ms (0 %)","1"
"       org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","0,0 ms (0 %)","0,0 ms (0 %)","1"
"        java.lang.Thread.run ()","0,0 ms (0 %)","0,0 ms (0 %)","1"
" org.apache.catalina.mapper.Mapper$ContextVersion.isPaused ()","100 ms (-0 %)","100 ms (-0 %)","1"
"  org.apache.catalina.mapper.Mapper.internalMap ()","0,0 ms (0 %)","0,0 ms (0 %)","1"
"   org.apache.catalina.mapper.Mapper.map ()","0,0 ms (0 %)","0,0 ms (0 %)","1"
"    org.apache.catalina.connector.CoyoteAdapter.postParseRequest ()","0,0 ms (0 %)","0,0 ms (0 %)","1"
"     org.apache.catalina.connector.CoyoteAdapter.service ()","0,0 ms (0 %)","0,0 ms (0 %)","1"
"      org.apache.coyote.http11.Http11Processor.service ()","0,0 ms (0 %)","0,0 ms (0 %)","1"
"       org.apache.coyote.AbstractProcessorLight.process ()","0,0 ms (0 %)","0,0 ms (0 %)","1"
"        org.apache.coyote.AbstractProtocol$ConnectionHandler.process ()","0,0 ms (0 %)","0,0 ms (0 %)","1"
"         org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun ()","0,0 ms (0 %)","0,0 ms (0 %)","1"
"          org.apache.tomcat.util.net.SocketProcessorBase.run ()","0,0 ms (0 %)","0,0 ms (0 %)","1"
"           java.util.concurrent.ThreadPoolExecutor.runWorker ()","0,0 ms (0 %)","0,0 ms (0 %)","1"
