"Name","Total Time","Total Time (CPU)","Hits"
"Monitor Ctrl-Break","47.294 ms (-0 %)","47.294 ms (-0 %)","1"
" com.intellij.rt.execution.application.AppMainV2$1.run ()","47.294 ms (-0 %)","47.294 ms (-0 %)","1"
"  java.io.BufferedReader.readLine ()","47.294 ms (-0 %)","47.294 ms (-0 %)","1"
"  Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"Catalina-utility-1","47.294 ms (-0 %)","0,0 ms (0 %)","1"
" java.lang.Thread.run ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"   java.util.concurrent.ThreadPoolExecutor$Worker.run ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"   Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"  Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"Catalina-utility-2","47.294 ms (-0 %)","0,0 ms (0 %)","1"
" java.lang.Thread.run ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"   java.util.concurrent.ThreadPoolExecutor$Worker.run ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"   Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"  Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"container-0","47.294 ms (-0 %)","0,0 ms (0 %)","1"
" org.springframework.boot.web.embedded.tomcat.TomcatWebServer$1.run ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"  org.apache.catalina.core.StandardServer.await ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"   java.lang.Thread.sleep[native] ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"   Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"  Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"http-nio-8080-BlockPoller","47.294 ms (-0 %)","0,0 ms (0 %)","1"
" org.apache.tomcat.util.net.NioBlockingSelector$BlockPoller.run ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"  sun.nio.ch.SelectorImpl.select ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"  Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"http-nio-8080-exec-1","47.294 ms (-0 %)","98,1 ms (-0 %)","1"
" java.lang.Thread.run ()","47.294 ms (-0 %)","98,1 ms (-0 %)","1"
"  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","47.294 ms (-0 %)","98,1 ms (-0 %)","1"
"   java.util.concurrent.ThreadPoolExecutor$Worker.run ()","47.294 ms (-0 %)","98,1 ms (-0 %)","1"
"    java.util.concurrent.ThreadPoolExecutor.runWorker ()","47.294 ms (-0 %)","98,1 ms (-0 %)","1"
"     java.util.concurrent.ThreadPoolExecutor.getTask ()","47.196 ms (-0 %)","0,0 ms (0 %)","2"
"      org.apache.tomcat.util.threads.TaskQueue.take ()","47.196 ms (-0 %)","0,0 ms (0 %)","2"
"       org.apache.tomcat.util.threads.TaskQueue.take ()","47.196 ms (-0 %)","0,0 ms (0 %)","2"
"        java.util.concurrent.LinkedBlockingQueue.take ()","47.196 ms (-0 %)","0,0 ms (0 %)","2"
"        Self time","0,0 ms (0 %)","0,0 ms (0 %)","2"
"       Self time","0,0 ms (0 %)","0,0 ms (0 %)","2"
"      Self time","0,0 ms (0 %)","0,0 ms (0 %)","2"
"     org.apache.tomcat.util.net.SocketProcessorBase.run ()","98,1 ms (-0 %)","98,1 ms (-0 %)","1"
"      org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun ()","98,1 ms (-0 %)","98,1 ms (-0 %)","1"
"       org.apache.coyote.AbstractProtocol$ConnectionHandler.process ()","98,1 ms (-0 %)","98,1 ms (-0 %)","1"
"        org.apache.coyote.AbstractProcessorLight.process ()","98,1 ms (-0 %)","98,1 ms (-0 %)","1"
"         org.apache.coyote.http11.Http11Processor.service ()","98,1 ms (-0 %)","98,1 ms (-0 %)","1"
"          org.apache.catalina.connector.CoyoteAdapter.service ()","98,1 ms (-0 %)","98,1 ms (-0 %)","1"
"           org.apache.catalina.core.StandardEngineValve.invoke ()","98,1 ms (-0 %)","98,1 ms (-0 %)","1"
"            org.apache.catalina.valves.ErrorReportValve.invoke ()","98,1 ms (-0 %)","98,1 ms (-0 %)","1"
"             org.apache.catalina.core.StandardHostValve.invoke ()","98,1 ms (-0 %)","98,1 ms (-0 %)","1"
"              org.apache.catalina.authenticator.AuthenticatorBase.invoke ()","98,1 ms (-0 %)","98,1 ms (-0 %)","1"
"               org.apache.catalina.core.StandardContextValve.invoke ()","98,1 ms (-0 %)","98,1 ms (-0 %)","1"
"                org.apache.catalina.connector.Request.getWrapper ()","98,1 ms (-0 %)","98,1 ms (-0 %)","1"
"                Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"               Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"              Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"             Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"            Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"           Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"          Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"         Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"        Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"       Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"      Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"     Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"    Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"   Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"  Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"http-nio-8080-exec-2","47.294 ms (-0 %)","0,0 ms (0 %)","1"
" java.lang.Thread.run ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"   java.util.concurrent.ThreadPoolExecutor$Worker.run ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"    java.util.concurrent.ThreadPoolExecutor.runWorker ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"     java.util.concurrent.ThreadPoolExecutor.getTask ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"      org.apache.tomcat.util.threads.TaskQueue.take ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"       org.apache.tomcat.util.threads.TaskQueue.take ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"        java.util.concurrent.LinkedBlockingQueue.take ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"        Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"       Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"      Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"     Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"    Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"   Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"  Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"http-nio-8080-exec-3","47.294 ms (-0 %)","0,0 ms (0 %)","1"
" java.lang.Thread.run ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"   java.util.concurrent.ThreadPoolExecutor$Worker.run ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"    java.util.concurrent.ThreadPoolExecutor.runWorker ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"     java.util.concurrent.ThreadPoolExecutor.getTask ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"      org.apache.tomcat.util.threads.TaskQueue.take ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"       org.apache.tomcat.util.threads.TaskQueue.take ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"        java.util.concurrent.LinkedBlockingQueue.take ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"        Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"       Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"      Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"     Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"    Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"   Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"  Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"http-nio-8080-exec-4","47.294 ms (-0 %)","0,0 ms (0 %)","1"
" java.lang.Thread.run ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"   java.util.concurrent.ThreadPoolExecutor$Worker.run ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"    java.util.concurrent.ThreadPoolExecutor.runWorker ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"     java.util.concurrent.ThreadPoolExecutor.getTask ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"      org.apache.tomcat.util.threads.TaskQueue.take ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"       org.apache.tomcat.util.threads.TaskQueue.take ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"        java.util.concurrent.LinkedBlockingQueue.take ()","47.294 ms (-0 %)","0,0 ms (0 %)","1"
"        Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"       Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"      Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
"     Self time","0,0 ms (0 %)","0,0 ms (0 %)","1"
