"Name","Live Bytes","Live Objects"
"byte[]","5.301.440 B (29,4 %)","50.618 (16 %)"
"int[]","1.409.616 B (7,8 %)","6.913 (2,2 %)"
"char[]","1.300.280 B (7,2 %)","2.694 (0,9 %)"
"java.lang.String","1.141.968 B (6,3 %)","47.582 (15 %)"
"java.lang.reflect.Method","974.776 B (5,4 %)","11.077 (3,5 %)"
"java.lang.Class","871.040 B (4,8 %)","7.326 (2,3 %)"
"java.lang.Object[]","712.520 B (3,9 %)","14.072 (4,4 %)"
"java.util.concurrent.ConcurrentHashMap$Node","586.688 B (3,3 %)","18.334 (5,8 %)"
"java.util.LinkedHashMap$Entry","382.800 B (2,1 %)","9.570 (3 %)"
"java.util.HashMap$Node[]","372.376 B (2,1 %)","3.786 (1,2 %)"
"java.util.HashMap$Node","347.648 B (1,9 %)","10.864 (3,4 %)"
"java.lang.Class[]","257.272 B (1,4 %)","11.295 (3,6 %)"
"java.util.concurrent.ConcurrentHashMap$Node[]","243.360 B (1,3 %)","266 (0,1 %)"
"java.util.TreeMap$Entry","193.040 B (1,1 %)","4.826 (1,5 %)"
"java.util.LinkedHashMap","188.776 B (1 %)","3.371 (1,1 %)"
"java.lang.Object","147.744 B (0,8 %)","9.234 (2,9 %)"
"java.lang.reflect.Field","146.304 B (0,8 %)","2.032 (0,6 %)"
"java.util.HashMap","101.040 B (0,6 %)","2.105 (0,7 %)"
"java.lang.invoke.MemberName","96.144 B (0,5 %)","2.003 (0,6 %)"
"java.lang.ref.SoftReference","95.280 B (0,5 %)","2.382 (0,8 %)"
"java.io.ObjectStreamClass$WeakClassKey","89.632 B (0,5 %)","2.801 (0,9 %)"
"java.lang.String[]","89.416 B (0,5 %)","2.693 (0,9 %)"
"java.lang.Class$ReflectionData","81.600 B (0,5 %)","1.275 (0,4 %)"
"java.lang.reflect.Constructor","77.328 B (0,4 %)","1.074 (0,3 %)"
"java.lang.reflect.Method[]","75.384 B (0,4 %)","1.244 (0,4 %)"
"sun.util.locale.LocaleObjectCache$CacheEntry","62.600 B (0,3 %)","1.565 (0,5 %)"
"java.lang.invoke.MethodType","61.640 B (0,3 %)","1.541 (0,5 %)"
"java.util.concurrent.ConcurrentHashMap","58.816 B (0,3 %)","919 (0,3 %)"
"org.springframework.core.ResolvableType","56.064 B (0,3 %)","1.168 (0,4 %)"
"java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry","54.560 B (0,3 %)","1.705 (0,5 %)"
"org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference","52.752 B (0,3 %)","1.099 (0,3 %)"
"java.util.LinkedList","46.528 B (0,3 %)","1.454 (0,5 %)"
"java.util.LinkedList$Node","45.288 B (0,3 %)","1.887 (0,6 %)"
"java.util.ArrayList","43.896 B (0,2 %)","1.829 (0,6 %)"
"java.lang.invoke.ResolvedMethodName","35.304 B (0,2 %)","1.471 (0,5 %)"
"java.lang.invoke.LambdaForm$Name","30.784 B (0,2 %)","962 (0,3 %)"
"java.util.TreeMap$KeyIterator","29.216 B (0,2 %)","913 (0,3 %)"
"org.springframework.util.ConcurrentReferenceHashMap$Reference[]","29.152 B (0,2 %)","684 (0,2 %)"
"org.springframework.http.MediaType","26.688 B (0,1 %)","834 (0,3 %)"
"org.springframework.util.ConcurrentReferenceHashMap$Entry","26.232 B (0,1 %)","1.093 (0,3 %)"
"sun.util.locale.BaseLocale","25.920 B (0,1 %)","810 (0,3 %)"
"java.util.Locale","25.632 B (0,1 %)","801 (0,3 %)"
"sun.util.locale.BaseLocale$Key","25.312 B (0,1 %)","791 (0,2 %)"
"java.io.ObjectStreamClass","25.080 B (0,1 %)","209 (0,1 %)"
"java.lang.ref.SoftReference[]","24.888 B (0,1 %)","366 (0,1 %)"
